patient,results_dir,experiment,criterion_name,criterion_value,mean_score_pos,mean_score_neg,confidence_gap,Precision@top_10pct,Recall@top_10pct,F1@top_10pct,Precision@top_20pct,Recall@top_20pct,F1@top_20pct,AUC_group_mean,num_groups_used,num_auc_groups_used
CHUM__Patient_01,results_20251213_032037,exp3_binary_more_reg_20260119_161626,F1@top_10pct,0.3822222222222222,0.24602338377216176,0.05794868443928051,0.18807469933288123,0.34718253968253965,0.4833333333333333,0.3822222222222222,0.3522208931419458,0.7366666666666667,0.4258441558441559,0.8745064749026881,10.0,10.0
CHUM__Patient_02,results_20251212_194730,exp4_binary_no_norm_keep_all_groups_20260119_135214,F1@top_10pct,0.4306293706293706,0.6131131806262751,0.12047954988209261,0.4926336307441824,0.475,0.5238095238095238,0.4306293706293706,0.3014912280701754,0.7714285714285715,0.4135725144420796,0.9075721400612077,5.0,5.0
CHUM__Patient_07,results_20251213_013300,exp5_binary_small_model_heavy_dropout_20260119_152948,F1@top_10pct,0.3890812890812891,0.2994254128877425,0.08366905195386229,0.2157563609338803,0.38703703703703707,0.46111111111111114,0.3890812890812891,0.3425204425204425,0.7462962962962963,0.4412427079093746,0.8688033292121342,9.0,9.0
CHUM__Patient_11,results_20251213_072620,exp4_binary_no_norm_keep_all_groups_20260119_181340,F1@top_10pct,0.2559741845456131,0.4557674607453706,0.2486815063778137,0.20708595436755697,0.2942176870748299,0.29047619047619044,0.2559741845456131,0.16673259047208627,0.5142857142857142,0.23185675608035858,0.6769449971078373,7.0,7.0
CHUM__Patient_14,results_20251213_040710,exp4_binary_no_norm_keep_all_groups_20260119_163748,F1@top_10pct,0.5238095238095237,0.4820331559037116,0.1662953930232695,0.3157377628804421,0.675,0.4416666666666666,0.5238095238095237,0.5409090909090909,0.6166666666666667,0.5282738095238095,0.8487601937949505,4.0,4.0
CHUM__Patient_22,results_20251213_014116,exp2_binary_deeper_lowlr_20260119_153105,F1@top_10pct,0.38,0.43595650474650804,0.15592801112921278,0.2800284936172953,0.40555555555555556,0.4238095238095238,0.38,0.4008496732026144,0.5523809523809524,0.39484848484848484,0.8223559692734451,5.0,5.0
ds004100__sub-HUP074,results_20251213_012439,exp1_binary_groupnorm_baseline_20260119_152433,F1@top_10pct,0.47095238095238096,0.4306411819034756,0.08903107815636223,0.34161010374711337,0.5485714285714286,0.5333333333333333,0.47095238095238096,0.34335403726708075,0.7666666666666666,0.3591575091575091,0.8723765432098766,5.0,5.0
ds004100__sub-HUP082,results_20251212_202427,exp3_binary_more_reg_20260119_140033,F1@top_10pct,0.45272727272727276,0.590720666361913,0.13901720087420935,0.4517034654877037,0.5133333333333334,0.4333333333333333,0.45272727272727276,0.30001248751248755,0.7666666666666667,0.43011961722488035,0.8916666666666668,5.0,5.0
ds004100__sub-HUP089,results_20251213_060415,exp3_binary_more_reg_20260119_173253,F1@top_10pct,0.55,0.47763121100997263,0.178410149474485,0.2992210615354876,0.625,0.5416666666666666,0.55,0.5833333333333333,0.625,0.5333333333333333,0.8324175824175825,4.0,4.0
ds004100__sub-HUP097,results_20251213_011317,exp5_binary_small_model_heavy_dropout_20260119_152051,F1@top_10pct,0.31999999999999995,0.26059123003974094,0.10113142924538202,0.1594598007943589,0.37857142857142856,0.3333333333333333,0.31999999999999995,0.30934065934065935,0.4,0.29,0.7673529411764706,5.0,5.0
ds004100__sub-HUP107,results_20251212_202427,exp3_binary_more_reg_20260119_140033,F1@top_10pct,0.507702589807853,0.6757424055563234,0.14264221526188745,0.533100190294436,0.492965367965368,0.5478571428571428,0.507702589807853,0.5080409356725146,0.8028571428571428,0.5762108262108263,0.9100499231950845,5.0,5.0
ds004100__sub-HUP111,results_20251213_005944,exp2_binary_deeper_lowlr_20260119_151338,F1@top_10pct,0.44764957264957267,0.2732991159157445,0.0934929783061044,0.17980613760964015,0.48571428571428577,0.47857142857142854,0.44764957264957267,0.3468531468531469,0.6496031746031747,0.43436507936507934,0.8492784992784992,5.0,5.0
ds004100__sub-HUP141,results_20251213_023649,exp3_binary_more_reg_20260119_155431,F1@top_10pct,0.4327777777777778,0.5132756897191687,0.14182632274713847,0.3714493669720301,0.3915873015873016,0.4928571428571429,0.4327777777777778,0.31714285714285706,0.6714285714285715,0.41920346320346324,0.8669285714285714,5.0,5.0
ds004100__sub-HUP144,results_20251213_005130,exp4_binary_no_norm_keep_all_groups_20260119_151211,F1@top_10pct,0.43999999999999995,0.5536898157598263,0.11429635898311385,0.4393934567767125,0.42380952380952375,0.5,0.43999999999999995,0.361002331002331,0.8,0.43794314381270893,0.9031746031746032,5.0,5.0
ds004100__sub-HUP148,results_20251212_191510,exp4_binary_no_norm_keep_all_groups_20260119_134229,F1@top_10pct,0.6414285714285713,0.5723459696296203,0.10341233856646073,0.4689336310631596,0.6492063492063492,0.6706349206349206,0.6414285714285713,0.5363127069009421,0.8873015873015874,0.6430517598343686,0.9408103592314119,5.0,5.0
ds004100__sub-HUP150,results_20251212_204249,exp4_binary_no_norm_keep_all_groups_20260119_140609,F1@top_10pct,0.49111111111111116,0.5308737428148209,0.08702349546548367,0.4438502473493373,0.4809523809523809,0.6666666666666666,0.49111111111111116,0.2854395604395604,0.8333333333333333,0.3883333333333333,0.9185185185185185,5.0,5.0
ds004100__sub-HUP157,results_20251212_200121,exp5_binary_small_model_heavy_dropout_20260119_135525,F1@top_10pct,0.40555555555555556,0.5438701648407231,0.12515434071217973,0.41871582412854336,0.5111111111111111,0.37555555555555553,0.40555555555555556,0.14328028293545536,0.7866666666666666,0.23447112027757191,0.8889333333333334,5.0,5.0
ds004100__sub-HUP173,results_20251213_003826,exp5_binary_small_model_heavy_dropout_20260119_150554,F1@top_10pct,0.35971988795518206,0.4085459238587383,0.12732098291219593,0.2812249409465423,0.35603174603174603,0.4471428571428572,0.35971988795518206,0.35454545454545455,0.6623809523809523,0.3915189995189995,0.8319134199134199,5.0,5.0
ds004100__sub-HUP180,results_20251213_040710,exp5_binary_small_model_heavy_dropout_20260119_163807,F1@top_10pct,0.3365079365079365,0.3463624005213083,0.11926123536573925,0.22710116515556905,0.28365800865800866,0.5,0.3365079365079365,0.25437229437229436,0.6,0.32222222222222224,0.8402912621359224,5.0,5.0
ds004100__sub-HUP185,results_20251213_013300,exp4_binary_no_norm_keep_all_groups_20260119_152929,F1@top_10pct,0.32047619047619047,0.5050972847310324,0.16697780993405567,0.3381194747969769,0.49000000000000005,0.2833333333333333,0.32047619047619047,0.30366946778711484,0.5833333333333333,0.3037254901960784,0.8414330218068535,5.0,5.0
